Farm_ID,Crop,Soil_Type,Season,Irrigation_Type,Nitrogen,Phosphorus,Potassium,Soil_pH,Temperature_C,Humidity_%,Rainfall_mm,Soil_Moisture_%,Farm_Area_ha,Water_Availability_L,Water_Requirement_mm,Yield_ton_per_ha,Water_Efficiency
1,Rice,Alluvial,Kharif,Drip,127,58,50,6.62,30.97,72.35,1575.62,82.83,4.61,64929832.48,1528.3,4.7,0.00308
2,Millet,Sandy,Zaid,Drip,80,34,40,5.95,31.1,32.23,398.29,35.79,903.81,4458480131.8,439.57,2.58,0.00587
3,Wheat,Loamy,Rabi,Sprinkler,90,31,52,7.02,21.17,69.03,115.17,41.11,1.47,7844459.29,530.91,4.87,0.00917
4,Millet,Loamy,Zaid,Rainfed,87,30,27,6.9,28.44,59.13,391.43,29.69,1.57,4069484.54,265.95,3.1,0.01166
5,Sugarcane,Clay,Zaid,Furrow,137,61,93,7.41,28.42,82.06,825.82,63.44,7.7,72532017.31,2097.87,75.76,0.03611
6,Millet,Sandy,Zaid,Rainfed,78,25,47,6.37,27.36,44.3,406.02,25.85,3.08,29145737.87,374.09,3.02,0.00807
7,Tomato,Alluvial,Zaid,Furrow,90,51,60,6.72,20.0,50.68,236.02,56.67,1.69,13650051.32,587.63,43.39,0.07384
8,Maize,Alluvial,Kharif,Furrow,84,40,58,6.31,21.05,53.54,780.95,67.26,9.7,111172935.44,732.08,4.27,0.00583
9,Cotton,Loamy,Kharif,Drip,69,28,34,7.79,27.38,51.07,652.98,52.38,78.27,618424027.79,1024.54,2.76,0.00269
10,Maize,Alluvial,Kharif,Furrow,105,33,56,5.92,24.99,51.25,547.0,49.9,1.87,18257304.14,821.57,5.33,0.00649
11,Rice,Clay,Kharif,Drip,117,56,45,6.75,28.82,89.57,682.73,74.6,614.56,3587307043.87,1428.43,4.03,0.00282
12,Millet,Red,Kharif,Rainfed,63,33,59,5.54,34.09,61.37,192.07,33.85,2.96,34298800.73,371.85,3.0,0.00807
13,Wheat,Clay,Rabi,Drip,66,52,67,6.35,10.56,56.65,124.18,54.89,9.54,85270562.66,461.67,3.31,0.00717
14,Tomato,Laterite,Kharif,Drip,107,42,48,5.57,23.22,79.77,556.67,57.46,3.3,35543527.11,543.66,46.44,0.08542
15,Tomato,Alluvial,Kharif,Drip,104,38,77,5.89,29.24,57.23,249.1,59.93,6.07,30079480.26,681.57,40.06,0.05878
16,Tomato,Loamy,Kharif,Furrow,97,48,89,6.25,19.73,50.42,291.86,38.95,7.0,34980369.52,557.09,62.32,0.11187
17,Rice,Alluvial,Kharif,Flood,81,60,38,5.67,25.24,93.19,997.58,69.03,9.57,134555208.36,1236.64,3.64,0.00294
18,Millet,Red,Kharif,Drip,66,34,26,5.71,26.54,44.67,439.87,34.9,52.06,141757287.17,393.37,1.54,0.00391
19,Wheat,Loamy,Rabi,Flood,110,39,62,6.35,17.96,58.18,223.55,48.09,4.37,58311675.76,574.36,4.32,0.00752
20,Groundnut,Red,Kharif,Sprinkler,36,34,40,6.77,30.17,52.63,373.3,47.83,1.61,7356325.92,685.32,1.72,0.00251
21,Sugarcane,Loamy,Zaid,Drip,130,47,77,6.04,22.78,70.24,748.04,77.73,3.32,44612705.1,1952.73,77.47,0.03967
22,Groundnut,Sandy,Kharif,Rainfed,26,42,38,5.9,24.49,64.28,495.69,31.48,8.37,117686580.55,396.88,1.62,0.00408
23,Groundnut,Laterite,Rabi,Sprinkler,63,55,66,7.17,30.02,69.49,574.87,53.37,5.24,43413358.45,615.19,2.33,0.00379
24,Cotton,Loamy,Kharif,Furrow,95,35,43,6.11,27.69,57.51,616.28,46.03,3.92,24346947.25,982.8,3.62,0.00368
25,Cotton,Loamy,Kharif,Furrow,115,60,54,6.52,28.5,70.46,826.29,59.13,3.02,15190773.39,947.94,3.22,0.0034
26,Groundnut,Loamy,Kharif,Rainfed,64,58,36,6.54,22.95,68.14,379.57,58.08,63.43,789001677.96,549.91,3.01,0.00547
27,Tomato,Alluvial,Zaid,Sprinkler,55,45,76,5.64,25.39,55.14,425.98,52.17,7.69,66533227.85,639.39,61.67,0.09645
28,Maize,Loamy,Rabi,Furrow,126,60,34,5.96,21.05,69.74,509.3,63.23,78.63,554530229.47,532.87,4.65,0.00873
29,Wheat,Loamy,Rabi,Drip,79,35,69,7.4,16.57,51.5,195.94,46.59,53.14,788220003.72,528.6,5.28,0.00999
30,Tomato,Loamy,Zaid,Drip,101,73,61,6.78,25.64,53.66,435.3,55.58,8.29,68242044.98,510.03,53.79,0.10546
31,Rice,Alluvial,Kharif,Drip,98,53,68,6.52,25.11,94.93,1479.2,68.52,9.99,106159361.32,1425.35,3.13,0.0022
32,Cotton,Black,Kharif,Furrow,113,60,31,6.33,23.0,68.3,599.1,62.32,0.25,2518516.18,647.52,2.95,0.00456
33,Tomato,Laterite,Kharif,Sprinkler,64,46,83,5.59,27.61,77.83,508.84,55.94,1.42,16777089.28,515.17,56.11,0.10892
34,Rice,Clay,Kharif,Drip,85,65,51,6.46,25.93,76.77,1309.9,89.41,6.24,84563365.49,1215.37,5.28,0.00434
35,Groundnut,Sandy,Rabi,Drip,43,31,47,5.81,31.8,61.46,624.43,49.09,9.47,92097787.92,505.19,2.41,0.00477
36,Wheat,Alluvial,Rabi,Sprinkler,99,45,68,6.22,17.63,52.12,144.83,33.58,3.19,32338128.44,544.13,5.25,0.00965
37,Tomato,Red,Zaid,Drip,75,41,60,5.83,25.06,59.51,214.42,47.55,5.74,60840303.6,598.62,56.11,0.09373
38,Maize,Red,Rabi,Furrow,107,41,40,6.57,25.18,68.78,480.33,55.38,92.9,836419476.99,632.38,6.58,0.01041
39,Maize,Loamy,Kharif,Furrow,89,48,64,6.49,21.39,52.16,721.0,41.67,3.28,8801996.59,729.23,5.62,0.00771
40,Wheat,Clay,Rabi,Sprinkler,103,60,47,6.23,19.01,43.59,122.98,58.75,37.99,429954847.81,631.7,4.17,0.0066
41,Tomato,Loamy,Kharif,Furrow,106,61,57,5.81,24.3,54.91,266.36,60.09,8.42,35952967.27,682.58,51.06,0.0748
42,Sugarcane,Loamy,Zaid,Drip,117,55,54,7.36,28.07,79.08,835.61,65.43,3.06,30081527.87,1977.14,72.6,0.03672
43,Rice,Clay,Kharif,Furrow,80,38,44,6.6,30.38,86.23,1270.2,82.89,5.49,71677362.68,1400.14,4.93,0.00352
44,Rice,Alluvial,Kharif,Furrow,112,62,59,6.16,33.1,84.68,1450.27,70.22,1.23,17179066.72,1494.25,4.46,0.00298
45,Millet,Red,Kharif,Sprinkler,53,21,20,5.88,25.27,62.46,284.46,27.69,2.92,30432596.72,336.87,3.07,0.00911
46,Sugarcane,Clay,Zaid,Flood,134,80,79,7.37,34.65,86.62,1566.89,83.46,49.61,529650256.68,2124.35,82.74,0.03895
47,Rice,Clay,Kharif,Furrow,86,70,40,6.45,31.5,78.66,723.87,61.23,9.86,145178267.67,1551.75,4.05,0.00261
48,Sugarcane,Loamy,Kharif,Furrow,95,76,89,7.0,33.23,92.74,1440.32,61.11,1.27,14497973.87,2147.16,79.96,0.03724
49,Rice,Loamy,Kharif,Flood,132,61,61,6.54,24.49,75.86,1221.9,85.74,6.84,51415900.17,1192.29,6.1,0.00512
50,Groundnut,Red,Kharif,Sprinkler,55,34,40,6.95,25.48,71.33,454.63,47.71,26.88,182087451.35,394.92,2.74,0.00694
51,Wheat,Alluvial,Rabi,Drip,85,59,51,6.44,16.12,44.1,164.97,59.93,4.05,35281402.68,657.08,3.35,0.0051
52,Cotton,Black,Kharif,Furrow,57,39,34,6.24,21.25,58.6,817.27,45.3,776.77,4704710194.51,848.53,2.99,0.00352
53,Millet,Sandy,Kharif,Rainfed,53,23,45,7.32,30.82,55.98,327.22,36.34,3.36,45121203.34,270.25,2.15,0.00796
54,Rice,Clay,Kharif,Drip,114,44,63,6.52,28.38,81.91,1594.7,80.24,808.83,7705831932.11,1305.22,3.38,0.00259
55,Millet,Sandy,Kharif,Rainfed,69,26,63,6.53,29.76,31.25,437.93,22.58,4.66,29857199.53,378.78,1.64,0.00433
56,Maize,Black,Kharif,Sprinkler,121,34,56,5.88,28.38,56.21,451.04,51.82,1.3,3270037.27,813.85,5.29,0.0065
57,Wheat,Clay,Rabi,Sprinkler,89,31,43,6.65,21.71,65.24,102.07,39.67,6.9,45775957.75,495.31,5.51,0.01112
58,Millet,Sandy,Kharif,Drip,32,32,41,6.92,26.65,31.66,191.46,42.97,1.28,7066222.54,386.37,2.31,0.00598
59,Maize,Red,Rabi,Rainfed,84,51,58,5.81,30.24,68.57,381.37,63.19,9.2,92393812.25,657.36,6.13,0.00933
60,Rice,Loamy,Kharif,Flood,102,61,64,5.91,31.99,85.02,816.36,72.42,0.49,1341584.16,1440.66,3.49,0.00242
61,Cotton,Alluvial,Kharif,Drip,101,59,66,7.42,25.44,71.7,796.92,38.78,1.89,28155671.99,822.36,1.65,0.00201
62,Tomato,Loamy,Zaid,Drip,51,57,90,6.38,19.52,76.92,552.15,51.09,6.03,65095436.39,419.99,60.88,0.14496
63,Wheat,Clay,Rabi,Furrow,71,30,32,6.35,23.11,47.61,172.15,46.61,7.31,87575831.92,622.13,5.26,0.00845
64,Millet,Red,Zaid,Drip,39,30,62,5.52,33.76,48.21,272.39,22.35,6.89,100038461.84,289.83,1.87,0.00645
65,Cotton,Loamy,Kharif,Furrow,64,62,73,7.81,23.97,59.09,866.75,61.35,7.47,91783902.14,948.97,2.64,0.00278
66,Millet,Red,Kharif,Rainfed,36,43,61,7.23,33.78,33.5,211.32,38.59,7.25,53888333.61,474.27,2.11,0.00445
67,Tomato,Alluvial,Zaid,Sprinkler,71,59,69,6.11,25.22,78.06,387.06,40.9,1.48,16364398.36,418.39,50.49,0.12068
